@relation cpu-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-weka.filters.unsupervised.attribute.Normalize

@attribute vendor=adviser numeric
@attribute vendor=amdahl numeric
@attribute vendor=apollo numeric
@attribute vendor=basf numeric
@attribute vendor=bti numeric
@attribute vendor=burroughs numeric
@attribute vendor=c.r.d numeric
@attribute vendor=cdc numeric
@attribute vendor=cambex numeric
@attribute vendor=dec numeric
@attribute vendor=dg numeric
@attribute vendor=formation numeric
@attribute vendor=four-phase numeric
@attribute vendor=gould numeric
@attribute vendor=hp numeric
@attribute vendor=harris numeric
@attribute vendor=honeywell numeric
@attribute vendor=ibm numeric
@attribute vendor=ipl numeric
@attribute vendor=magnuson numeric
@attribute vendor=microdata numeric
@attribute vendor=nas numeric
@attribute vendor=ncr numeric
@attribute vendor=nixdorf numeric
@attribute vendor=perkin-elmer numeric
@attribute vendor=prime numeric
@attribute vendor=siemens numeric
@attribute vendor=sperry numeric
@attribute vendor=sratus numeric
@attribute vendor=wang numeric
@attribute MYCT numeric
@attribute MMIN numeric
@attribute MMAX numeric
@attribute CACH numeric
@attribute CHMIN numeric
@attribute CHMAX numeric
@attribute class numeric

@data
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.072825,0.006012,0.092843,1,0.307692,0.727273,0.15045
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008092,0.248497,0.499499,0.125,0.153846,0.181818,0.194603
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008092,0.248497,0.499499,0.125,0.153846,0.181818,0.194603
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008092,0.248497,0.499499,0.125,0.153846,0.181818,0.194603
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008092,0.248497,0.249249,0.125,0.153846,0.090909,0.095666
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006069,0.248497,0.499499,0.25,0.153846,0.181818,0.224857
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004046,0.498998,0.499499,0.25,0.307692,0.181818,0.299264
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004046,0.498998,0.499499,0.25,0.307692,0.181818,0.299264
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004046,0.498998,1,0.25,0.307692,0.181818,0.600164
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004046,1,1,0.5,0.615385,0.363636,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25826,0.029309,0.045921,0,0.019231,0.011364,0.006541
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25826,0.014028,0.053741,0.015625,0.019231,0.034091,0.007359
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028995,0.060621,0.124124,0.253906,0.019231,0.045455,0.044971
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022252,0.123246,0.249249,0.253906,0.019231,0.045455,0.083401
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224545,0,0,0,0.019231,0.022727,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123399,0.014028,0.249249,0,0.076923,0.181818,0.040065
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101146,0.014404,0.03028,0.03125,0.076923,0.085227,0.006541
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084963,0.014028,0.077202,0,0.134615,0.181818,0.011447
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084963,0.029309,0.03028,0,0.096154,0.090909,0.005724
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062711,0.154559,0.077202,0.554688,0.153846,0.363636,0.089125
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084963,0.044965,0.097535,0,0.096154,0.181818,0.016353
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084963,0.095065,0.095971,0,0.096154,0.113636,0.019624
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084963,0.070015,0.095971,0,0.115385,0.363636,0.020442
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062711,0.095065,0.095971,0,0.115385,0.363636,0.02453
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204316,0.002004,0.092843,0,0.019231,0.068182,0.01063
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204316,0.014028,0.03028,0.015625,0.019231,0.017045,0.004906
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204316,0.006012,0.092843,0,0.019231,0.034091,0.01063
