@relation strike-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-weka.filters.unsupervised.attribute.Normalize

@attribute country=1 numeric
@attribute country=2 numeric
@attribute country=3 numeric
@attribute country=4 numeric
@attribute country=5 numeric
@attribute country=6 numeric
@attribute country=7 numeric
@attribute country=8 numeric
@attribute country=9 numeric
@attribute country=10 numeric
@attribute country=11 numeric
@attribute country=12 numeric
@attribute country=13 numeric
@attribute country=14 numeric
@attribute country=15 numeric
@attribute country=16 numeric
@attribute country=17 numeric
@attribute country=18 numeric
@attribute year numeric
@attribute unemployment numeric
@attribute inflation numeric
@attribute representation numeric
@attribute centralization numeric
@attribute volume numeric

@data
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076471,0.746711,0.493904,0.375,0.042286
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029412,0.129412,0.661184,0.493904,0.375,0.056714
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058824,0.147059,0.236842,0.493904,0.375,0.051429
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088235,0.1,0.118421,0.55061,0.375,0.042857
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117647,0.082353,0.161184,0.430111,0.375,0.046571
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147059,0.105882,0.302632,0.430111,0.375,0.050286
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176471,0.135294,0.177632,0.430111,0.375,0.027857
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205882,0.158824,0.138158,0.407428,0.375,0.019
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235294,0.152941,0.154605,0.407428,0.375,0.015571
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.264706,0.147059,0.220395,0.407428,0.375,0.029714
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.294118,0.147059,0.177632,0.581798,0.375,0.024714
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.323529,0.152941,0.085526,0.581798,0.375,0.020286
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352941,0.123529,0.111842,0.465551,0.375,0.022571
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.382353,0.094118,0.174342,0.465551,0.375,0.034714
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.411765,0.088235,0.226974,0.465551,0.375,0.030143
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.441176,0.1,0.194079,0.353558,0.375,0.026143
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.470588,0.111765,0.200658,0.353558,0.375,0.024
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.105882,0.184211,0.353558,0.375,0.035571
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.529412,0.105882,0.190789,0.553445,0.375,0.062714
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.558824,0.094118,0.223684,0.553445,0.375,0.073571
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.588235,0.111765,0.296053,0.553445,0.375,0.092143
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.617647,0.152941,0.289474,0.644174,0.375,0.059429
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.647059,0.135294,0.407895,0.644174,0.375,0.075286
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.676471,0.152941,0.592105,0.621491,0.375,0.178857
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.705882,0.282353,0.592105,0.285512,0.375,0.100286
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.735294,0.276471,0.539474,0.285512,0.375,0.108571
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.764706,0.329412,0.5,0.319535,0.375,0.046857
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.794118,0.376471,0.355263,0.319535,0.375,0.060143
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.823529,0.358824,0.394737,0.319535,0.375,0.111143
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.852941,0.352941,0.427632,0.462716,0.375,0.090429
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.882353,0.335294,0.414474,0.462716,0.375,0.111286
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.911765,0.411765,0.463816,0.462716,0.375,0.052857
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.941176,0.576471,0.427632,0.734902,0.375,0.044714
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.970588,0.523529,0.226974,0.669691,0.375,0.034429
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.482353,0.315789,0.669691,0.375,0.032286
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205882,1,0.50241,1,0.006143
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029412,0.276471,0.542763,0.50241,1,0.005571
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058824,0.341176,0.042763,0.546357,1,0.002857
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088235,0.288235,0.226974,0.546357,1,0.003714
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117647,0.211765,0.095395,0.546357,1,0.004
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147059,0.205882,0.223684,0.546357,1,0.010286
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176471,0.194118,0.1875,0.546357,1,0.003
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205882,0.211765,0.161184,0.546357,1,0.003143
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235294,0.194118,0.131579,0.554862,1,0.003286
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.264706,0.147059,0.161184,0.554862,1,0.004286
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.294118,0.117647,0.210526,0.554862,1,0.007
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.323529,0.111765,0.240132,0.537851,1,0.039571
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352941,0.123529,0.184211,0.537851,1,0.002143
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.382353,0.111765,0.223684,0.537851,1,0.002143
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.411765,0.111765,0.256579,0.537851,1,0.009143
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.441176,0.105882,0.167763,0.563368,1,0.004286
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.470588,0.105882,0.226974,0.563368,1,0.001
